videoId,videoComments,videoLikes,videoViews
dq0TDb_y2QM,53,2243,72982
vaQxdBEcBzU,131,5925,199096
xTLfLtqGsyg,145,5219,178326
kccT0FVK6OY,76,1189,82668
gDRtwB6qXM0,43,505,10227
PbguWyuZ4Ts,110,4103,135506
yfb2gxC1q4g,58,393,23051
swCPic00c30,315,5447,165147
y1y1ATTMpaw,137,6701,198981
zeCFHEJqAR4,39,1410,44451
Ims3L_hfLJU,223,9165,219433
3oj4vWvOOoM,40,757,21165
H-bcnHE6Mes,125,1594,68867
AOI7IVE3CMw,90,2720,59756
aWKrL4z5H6w,198,4945,147563
